Genero,Etnia,Nivel educativo de los padres,Examen de preparacion,Matematicas,Lectura,Escritura
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,79,84,91
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,67,75,72
Masculino,Grupo E,"Licenciatura, Ingenieria",Completado,70,64,70
Masculino,Grupo D,"Licenciatura, Ingenieria",No realizado,50,42,48
Femenino,Grupo A,"Educacion Superior, no titulado",No realizado,69,84,82
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,52,61,66
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,47,62,66
Femenino,Grupo B,Preparatoria,No realizado,46,61,55
Femenino,Grupo E,"Educacion Superior, no titulado",No realizado,68,70,66
Masculino,Grupo E,"Licenciatura, Ingenieria",Completado,100,100,100
Femenino,Grupo C,Secundaria,No realizado,44,61,52
Femenino,Grupo C,Preparatoria,Completado,57,77,80
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,91,96,91
Masculino,Grupo D,Secundaria,No realizado,69,70,67
Femenino,Grupo C,Secundaria,No realizado,35,53,46
Masculino,Grupo D,Secundaria,No realizado,72,66,66
Femenino,Grupo B,Preparatoria,No realizado,54,65,65
Masculino,Grupo D,Secundaria,No realizado,74,70,69
Masculino,Grupo E,Secundaria,Completado,74,64,60
Masculino,Grupo E,Preparatoria,No realizado,64,56,52
Femenino,Grupo D,Secundaria,Completado,65,61,71
Masculino,Grupo E,Preparatoria,Completado,46,43,44
Femenino,Grupo C,Secundaria,No realizado,48,56,51
Masculino,Grupo C,"Educacion Superior, no titulado",Completado,67,74,70
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,62,57,62
Masculino,Grupo D,Preparatoria,Completado,61,71,73
Masculino,Grupo C,"Licenciatura, Ingenieria",Completado,70,75,74
Masculino,Grupo C,Preparatoria,Completado,98,87,90
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,70,63,58
Masculino,Grupo A,Preparatoria,No realizado,67,57,53
Femenino,Grupo E,Secundaria,No realizado,57,58,57
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,85,81,85
Masculino,Grupo D,Secundaria,Completado,77,68,69
Masculino,Grupo C,Maestria,Completado,72,66,72
Femenino,Grupo D,Maestria,No realizado,78,91,96
Masculino,Grupo C,Secundaria,No realizado,81,66,64
Masculino,Grupo A,Secundaria,Completado,61,62,61
Femenino,Grupo B,Secundaria,No realizado,58,68,61
Femenino,Grupo C,Preparatoria,No realizado,54,61,58
Masculino,Grupo B,Secundaria,No realizado,82,82,80
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,49,58,60
Masculino,Grupo B,Secundaria,Completado,49,50,52
Femenino,Grupo E,Secundaria,Completado,57,75,73
Masculino,Grupo E,Secundaria,No realizado,94,73,71
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,75,77,83
Femenino,Grupo E,Secundaria,No realizado,74,74,72
Masculino,Grupo C,Secundaria,Completado,58,52,54
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,62,69,69
Masculino,Grupo E,Preparatoria,No realizado,72,57,62
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,84,87,81
Femenino,Grupo D,Maestria,No realizado,92,100,100
Femenino,Grupo D,Secundaria,No realizado,45,63,59
Masculino,Grupo C,Secundaria,No realizado,75,81,71
Femenino,Grupo A,"Educacion Superior, no titulado",No realizado,56,58,64
Femenino,Grupo D,Secundaria,No realizado,48,54,53
Femenino,Grupo E,Preparatoria,No realizado,100,100,100
Femenino,Grupo C,Secundaria,Completado,65,76,75
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,72,57,58
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,62,70,72
Masculino,Grupo A,Secundaria,Completado,66,68,64
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,63,63,60
Femenino,Grupo E,Preparatoria,No realizado,68,76,67
Femenino,Grupo B,"Licenciatura, Ingenieria",No realizado,75,84,80
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,89,100,100
Masculino,Grupo C,Secundaria,Completado,78,72,69
Femenino,Grupo A,Secundaria,Completado,53,50,60
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,49,65,61
Femenino,Grupo A,"Educacion Superior, no titulado",No realizado,54,63,67
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,64,82,77
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,60,62,60
Masculino,Grupo C,Preparatoria,No realizado,62,65,58
Masculino,Grupo D,Secundaria,Completado,55,41,48
Femenino,Grupo C,Preparatoria,No realizado,91,95,94
Femenino,Grupo B,Secundaria,No realizado,8,24,23
Masculino,Grupo D,Secundaria,No realizado,81,78,78
Masculino,Grupo B,Secundaria,Completado,79,85,86
Femenino,Grupo A,"Educacion Superior, no titulado",Completado,78,87,91
Femenino,Grupo C,Secundaria,No realizado,74,75,82
Masculino,Grupo A,Secundaria,No realizado,57,51,54
Femenino,Grupo C,Preparatoria,No realizado,40,59,51
Masculino,Grupo E,Secundaria,Completado,81,75,76
Femenino,Grupo A,Secundaria,No realizado,44,45,45
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,67,86,83
Masculino,Grupo E,Secundaria,Completado,86,81,75
Femenino,Grupo B,Secundaria,Completado,65,82,78
Femenino,Grupo D,Preparatoria,No realizado,55,76,76
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,62,72,74
Masculino,Grupo A,Secundaria,No realizado,63,63,62
Femenino,Grupo E,Maestria,Completado,88,99,95
Masculino,Grupo C,Secundaria,No realizado,62,55,55
Femenino,Grupo C,Secundaria,Completado,59,71,65
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,68,78,77
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,77,86,86
